ID,experimental_replicate,media,condition,repeat, spores  upper square 1,spores upper square 2,spores upper square  3,spores upper square  4,spores  lower square 1,spores lower square 2,spores lower square  3,spores lower square  4
775,2,PGM,light,4,0,1,1,0,0,0,1,2
201,2,PGM,light,1,0,0,0,0,0,0,0,0
201,2,PGM,light,2,0,0,0,0,0,0,0,0
201,2,PGM,light,3,0,0,0,0,0,0,0,0
201,2,PGM,light,4,0,0,0,0,0,0,0,0
42,2,DV8,light,1,14,29,39,37,25,28,21,22
42,2,DV8,light,2,2,5,2,5,5,16,7,8
42,2,DV8,light,3,3,3,3,5,8,12,11,8
42,2,DV8,light,4,,,,,,,,
775,2,DV8,light,1,0,0,0,0,0,0,0,0
775,2,DV8,light,2,0,0,0,0,0,0,0,0
775,2,DV8,light,3,0,0,0,0,0,0,0,0
775,2,DV8,light,4,0,0,0,0,0,0,0,0
201,2,DV8,light,1,3,1,4,2,5,4,4,0
201,2,DV8,light,2,8,4,6,5,3,1,2,0
201,2,DV8,light,3,6,8,0,7,5,7,0,0
201,2,DV8,light,4,0,1,0,0,0,0,0,0
42,2,DV8_filter_paper,light,1,9,10,10,5,16,7,8,10
42,2,DV8_filter_paper,light,2,1,2,0,2,4,7,6,7
42,2,DV8_filter_paper,light,3,38,21,42,36,26,30,29,33
42,2,DV8_filter_paper,light,4,8,5,2,3,8,5,4,4
775,2,DV8_filter_paper,light,1,0,0,0,0,0,0,0,0
775,2,DV8_filter_paper,light,2,0,0,0,0,0,0,0,0
775,2,DV8_filter_paper,light,3,0,0,0,0,0,0,0,0
775,2,DV8_filter_paper,light,4,0,0,0,0,0,0,0,0
201,2,DV8_filter_paper,light,1,0,3,2,3,3,5,2,7
201,2,DV8_filter_paper,light,2,2,0,1,2,2,3,3,3
201,2,DV8_filter_paper,light,3,9,6,5,2,9,2,17,3
201,2,DV8_filter_paper,light,4,8,7,7,7,7,5,6,5
42,2,PDA,light-dark,1,2,1,4,4,3,7,3,6
42,2,PDA,light-dark,2,4,9,1,0,7,4,6,3
42,2,PDA,light-dark,3,0,0,0,0,0,0,0,0
42,2,PDA,light-dark,4,,,,,,,,
775,2,PDA,light-dark,1,0,1,0,0,0,0,0,1
775,2,PDA,light-dark,2,0,0,1,1,0,0,3,1
775,2,PDA,light-dark,3,0,1,0,0,3,1,0,1
775,2,PDA,light-dark,4,0,1,0,0,0,0,0,0
201,2,PDA,light-dark,1,7,1,3,0,4,0,1,0
201,2,PDA,light-dark,2,0,1,1,2,3,1,2,1
201,2,PDA,light-dark,3,1,0,2,2,1,0,1,0
201,2,PDA,light-dark,4,1,0,0,0,0,0,2,0
42,2,SSLB,light-dark,1,25,15,23,24,24,30,42,15
42,2,SSLB,light-dark,2,6,8,7,9,13,12,9,16
42,2,SSLB,light-dark,3,29,34,15,21,12,29,18,34
42,2,SSLB,light-dark,4,,,,,,,,
775,2,SSLB,light-dark,1,25,14,32,16,15,20,19,18
775,2,SSLB,light-dark,2,9,5,6,5,15,21,7,10
775,2,SSLB,light-dark,3,9,15,11,8,12,11,12,6
775,2,SSLB,light-dark,4,,,,,,,,
201,2,SSLB,light-dark,1,5,4,6,7,6,6,12,10
201,2,SSLB,light-dark,2,9,1,5,6,8,3,11,12
201,2,SSLB,light-dark,3,18,9,9,10,11,16,6,11
201,2,SSLB,light-dark,4,22,24,19,9,13,11,16,22
42,2,PGM,light-dark,1,5,10,15,7,11,5,18,17
42,2,PGM,light-dark,2,13,35,23,33,18,26,57,34
42,2,PGM,light-dark,3,16,15,9,9,26,13,19,19
42,2,PGM,light-dark,4,40,30,41,28,29,43,49,34
775,2,PGM,light-dark,1,18,17,29,18,13,20,20,23
775,2,PGM,light-dark,2,11,7,13,7,9,7,12,8
775,2,PGM,light-dark,3,13,13,12,8,11,11,12,18
775,2,PGM,light-dark,4,,,,,,,,
201,2,PGM,light-dark,1,1,2,3,3,5,2,5,1
201,2,PGM,light-dark,2,22,14,16,16,19,19,14,17
201,2,PGM,light-dark,3,10,4,9,5,12,7,21,5
201,2,PGM,light-dark,4,5,4,8,3,3,5,6,2
42,2,DV8,light-dark,1,42,32,39,35,42,47,37,26
42,2,DV8,light-dark,2,166,157,194,179,99,91,98,68
42,2,DV8,light-dark,3,60,45,47,39,58,45,34,62
42,2,DV8,light-dark,4,80,50,59,58,70,89,87,75
775,2,DV8,light-dark,1,6,12,11,6,45,18,48,13
775,2,DV8,light-dark,2,4,4,6,3,23,2,14,7
775,2,DV8,light-dark,3,2,0,4,4,3,5,10,2
775,2,DV8,light-dark,4,21,29,25,28,36,47,30,37
201,2,DV8,light-dark,1,43,34,38,32,27,28,25,34
201,2,DV8,light-dark,2,19,21,22,16,17,12,14,13
201,2,DV8,light-dark,3,15,14,16,15,11,14,9,24
201,2,DV8,light-dark,4,15,37,5,6,8,12,7,8
42,2,DV8_filter_paper,light-dark,1,27,11,25,16,16,10,10,13
42,2,DV8_filter_paper,light-dark,2,4,12,9,9,5,5,7,4
42,2,DV8_filter_paper,light-dark,3,22,17,20,9,9,13,16,22
42,2,DV8_filter_paper,light-dark,4,7,4,3,4,8,8,6,9
775,2,DV8_filter_paper,light-dark,1,12,12,20,16,14,15,9,19
775,2,DV8_filter_paper,light-dark,2,13,17,10,10,6,11,16,15
775,2,DV8_filter_paper,light-dark,3,3,11,3,6,6,5,9,15
775,2,DV8_filter_paper,light-dark,4,6,1,1,0,4,0,1,0
201,2,DV8_filter_paper,light-dark,1,36,13,19,6,8,18,19,24
201,2,DV8_filter_paper,light-dark,2,6,6,3,3,7,2,4,2
201,2,DV8_filter_paper,light-dark,3,16,14,8,10,12,6,9,9
201,2,DV8_filter_paper,light-dark,4,5,3,2,5,3,6,2,5
